Activelyrecruiting,Title,Company,Link,Experience Level,Employee Count/Domain,Description,Skills
,Data Analyst (3+ years only),"Wolters Kluwer · Pune, Maharashtra, India · Reposted 13 hours ago",https://www.linkedin.com/jobs/view/3888705521/?alternateChannel=search&refId=q8ntXN6SBRh1bqaH%2BYrCRg%3D%3D&trackingId=ONTX7NtsyKDB7s6F%2Fb6gmA%3D%3D&trk=d_flagship3_search_srp_jobs,"On-site
Matches your job preferences, workplace type is On-site.
Full-time
Matches your job preferences, job type is Full-time.
Mid-Senior level","10,001+ employees · Information Services","About the job
About Us:

Wolters Kluwer is a global leader in professional information services. Professionals in the areas of legal, business, tax, accounting, finance, audit, risk, compliance, and healthcare rely on Wolters Kluwer's market leading information-enabled tools and software solutions to manage their business efficiently, deliver results to their clients, and succeed in an ever more dynamic world. Wolters Kluwer combines deep domain knowledge with specialized technology. Our portfolio offers software tools coupled with content and services that customers need to make decisions with confidence. Every day, our customers make critical decisions to help save lives, improve the way we do business, build better judicial and regulatory systems. We help them get it right.

The role

In this role, you will contribute towards solution development using Python, Tableau/Power BI and Advanced Excel for a range of data analytics problems.
You will be working within the Wolters Kluwer FSS organization to support the Financial Leadership in identifying financial strategic needs and directions for FSS.


Key Responsibilities

Data Analysis for Capacity and Volume Understanding:

Analyze customer behavior to understand its impact on capacity and volume, such as revenue/volumes by customer segments, product usage behavior, and seasonal variations.
Identify correlations between volumes and variable costs, as well as the impact on temporary help and overtime costs.


Forecast Model Preparation:

Create forecast models based on historical trends, vendor invoices, and volume data to predict future trends.


Business Opportunity Identification and Optimization:

Assist in identifying business unit opportunities and challenges by continually reviewing and analyzing financial and operational data.
Model trends, identify relationships, and spot opportunities.
Test hypotheses and alternatives to find optimal solutions.
Collaborate with other leaders to identify new business models and workflows.
Assist in building business cases for necessary investments and strategic plans to achieve planned results.


Report and Dashboard Improvement:

Simplify, standardize, and automate existing reports and dashboards.
Enhance visualization and drill-down capabilities to provide better insights for Root Cause Analysis.


Data Mining and Analytics Skills:

Proficient in data mining and data analytics to derive insights from various datasets.


Stakeholder Management

Foster positive and professional relationships with all stakeholders in the workplace for effective collaboration and communication


Key Skills And Experience Required

Required experience in Data science 3 years at least
Required: Bachelor’s degree in data science/analytics, finance, accounting, or economics or Engineering in Computer Science, or related quantitative field
Required - Visualization tools (like Tableau, Power BI etc)
Strong python programming skills for data transformations with packages such as numpy and pandas
Preferred: Advanced Excel & SQL
Sound Knowledge of statistical modelling
Strong analytical skills; capable of multi-tasking in fast-paced, dynamic environment
Ability to communicate effectively to multiple constituencies in multiple platforms including email.
Pricing execution and/or sales support experience is preferred.


Travel requirements:

Limited to 1-2 weeks a year (if any)

Physical Demands

Minimum 2 days working from office (Pune-Kalyani Nagar).

The above statements are intended to describe the general nature and level of work being performed by most people assigned to this job. They are not intended to be an exhaustive list of all duties and responsibilities and requirements.",
,Data Analyst & Reporting,"HP · Gurugram, Haryana, India · Reposted 1 week ago",https://www.linkedin.com/jobs/view/3872948199/?alternateChannel=search&refId=q8ntXN6SBRh1bqaH%2BYrCRg%3D%3D&trackingId=f2YgNZCY4TUBAspkhltrfw%3D%3D&trk=d_flagship3_search_srp_jobs,"Full-time
Matches your job preferences, job type is Full-time.","10,001+ employees · IT Services and IT Consulting","About the job
Job Summary

 This role is responsible for actively contributing to defining the category business plan and collaborating with internal teams to ensure its seamless execution. The role gathers insights into product categories, business challenges, and customer needs, and translates them into actionable improvements. The role handles low-complexity and low-impact tasks under the general supervision of managers.

Responsibilities

 Collaborates closely with cross-functional teams, including marketing, product development, and supply chain, to align strategies, drive successful product launches, and ensure seamless execution of category plans.
 Utilize advanced sales analytics tools to derive actionable insights from sales data, enabling data-driven decision-making and strategy refinement.
 Participates in defining the category business plan and strategies with the manager to drive growth and profitability.
 Holds responsibility for product line and quota management limited to low complexity and low impact product range or customer segment.
 Conduct in-depth external market analysis to identify trends, competitive landscape, and customer preferences within the category, using insights to inform sales approaches.
 Gathers understanding of product categories, business management, and sales challenges/strategies.
 Collects and analyzes customer feedback and data to understand customer needs, pain points, and improvement areas and translates them into actionable insights to enhance future deliverables.
 Assists in functional responsibilities in areas such as market analysis, marketing engagement, etc.
 Communicates and builds relationships with individuals at various levels within the sales team.

Education & Experience Recommended

 Four-year or Graduate Degree in Sales, Marketing, Business Administration, or any other related discipline or commensurate work experience or demonstrated competence.
 Typically has 2-4 years of work experience, preferably in category management, P&L management, or a related field or an advanced degree with little or no work experience.

Preferred Certifications

NA

Knowledge & Skills

 Agile Methodology
 Analytics
 Business Development
 Business Strategies
 Business To Business
 Customer Relationship Management
 Data Analysis
 Digital Marketing
 Go-to-Market Strategy
 Key Performance Indicators (KPIs)
 Market Research
 Marketing
 Marketing Strategies
 New Product Development
 Product Management
 Product Marketing
 Product Strategy
 Project Management
 Thought Leadership
 Value Propositions

Cross-Org Skills

 Effective Communication
 Results Orientation
 Learning Agility
 Digital Fluency
 Customer Centricity

Impact & Scope

 Impacts immediate team and acts as an informed team member providing analysis of information and limited project direction input.

Complexity

 Responds to routine issues within established guidelines.

Disclaimer

 This job description describes the general nature and level of work performed in this role. It is not intended to be an exhaustive list of all duties, skills, responsibilities, knowledge, etc. These may be subject to change and additional functions may be assigned as needed by management.",
,Data Visualization - Analyst,"JPMorgan Chase & Co. · Bengaluru, Karnataka, India · 3 weeks ago",https://www.linkedin.com/jobs/view/3854384185/?alternateChannel=search&refId=q8ntXN6SBRh1bqaH%2BYrCRg%3D%3D&trackingId=y%2FvBaYKoNvoSTJrtJAdoqg%3D%3D&trk=d_flagship3_search_srp_jobs,"Full-time
Matches your job preferences, job type is Full-time.","10,001+ employees · Financial Services","About the job
Job Description

You are a strategic thinker passionate about driving solutions in Finance. You have found the right team.

As a Data Visualization - Analyst in our Data Visualization team, you will spend each day defining, refining, and delivering set goals for our firm. You will have the opportunity to work on high-impact initiatives that help promote profitability and efficiency across the Commercial Banking organization. You will be responsible for executing the management team initiatives for the WPPD team by supporting new dashboard design/development and ongoing improvements to existing dashboards/Reports, Data management initiatives, and extending responsibility to offer report/Dashboard automation capabilities.

Job Responsibilities

Collaborate with stakeholders across the organization to understand business needs and solve business problems through rigorous data analysis and visualizations.
Build and support Qlik/Tableau dashboards to deliver information and data in ways that help drive the business and create efficiencies
Query, analyze and transform complex data sets to optimize dashboard flexibility and performance
Ensure all Qlik/Tableau development is in line with best practices, principals and standards defined by Banking Analytics team and complies with the spirit of the firm’s overall data control standards
Be able to present data and analysis in a clear and concise manner allowing the senior leadership team to quickly understand the results and make data driven decisions.
Stay knowledgeable about new processes, technology, and best practices in data analytics and data science.
Work with direct reports and help seek outgrowth opportunities for your teams; continually challenge them to maximize their engagement and productivity.

Required Qualifications, Capabilities, And Skills

Minimum 3 years of experience in demonstrating technical expertise working in end to end data & analytics implementations
Graduate/Post-graduate degree in Computer Engineering/ Math & Statistics / Business Management / Statistics / Economics / IT / Finance
Highly proficient and hands on experience on data warehouse and analytics tools –
Excellent hands on experience in Qlik /Tableau / Power BI / Alteryx, advanced skills optimizing data models and directly developing dashboards. 
Experience optimizing data architecture and data libraries for specific use in Qlik/ Tableau
Load script development experience: Ability to load data from multiple source and deal with complex data models

Preferred Qualifications, Capabilities, And Skills

 Tableau, QlikView/ Qlik Sense, SQL, Hadoop, AWS, R/Python (Preferred)

ABOUT US

JPMorgan Chase & Co., one of the oldest financial institutions, offers innovative financial solutions to millions of consumers, small businesses and many of the world’s most prominent corporate, institutional and government clients under the J.P. Morgan and Chase brands. Our history spans over 200 years and today we are a leader in investment banking, consumer and small business banking, commercial banking, financial transaction processing and asset management.

We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. We also make reasonable accommodations for applicants’ and employees’ religious practices and beliefs, as well as mental health or physical disability needs. Visit our FAQs for more information about requesting an accommodation.

About The Team

Commercial Banking is focused on helping our clients succeed and making a positive difference in our communities. We provide credit and financing, treasury and payment services, international banking and real estate services to clients including corporations, municipalities, institutions, real estate investors and owners, and nonprofit organizations.",
,Analyst - Power BI,"AstraZeneca · Chennai, Tamil Nadu, India · 20 hours ago",https://www.linkedin.com/jobs/view/3886299157/?alternateChannel=search&refId=q8ntXN6SBRh1bqaH%2BYrCRg%3D%3D&trackingId=6zWjDU6mgZ3hQAAHSVey%2BA%3D%3D&trk=d_flagship3_search_srp_jobs,"Full-time
Matches your job preferences, job type is Full-time.
Entry level","10,001+ employees · Pharmaceutical Manufacturing","About the job
Job Description – Analyst - Power BI

Career Level : C3

About Astrazeneca

AstraZeneca is a global, science-led, patient-focused biopharmaceutical company that focuses on the discovery, development, and commercialization of prescription medicines for some of the world’s most serious disease. But we’re more than one of the world’s leading pharmaceutical companies. At AstraZeneca we’re dedicated to being a Great Place to Work.

Who we are: 

The Global Business Service (GBS) team sits within Finance at AstraZeneca and is a dynamic and results-oriented environment and provides a range of enterprise-wide services. We dare to change the way we work by freeing up the business to push the boundaries of science to deliver life-changing medicines. We aim to do this by freeing up time, freeing up money, protecting AZ’s value and providing new capabilities.

What we do: 

A trusted partner to the business, we’re on a mission to make AstraZeneca more agile, efficient and effective. Through our hybrid model of in-house delivery centers and service towers across the globe, we’re reimagining how we work. Here we drive new ways of working and operating models, process simplification and innovative solutions, whilst ensuring that automation and data is at the heart of everything.

How we do it:

Be part of a team building a community. We interact with diverse cultures and perspectives and are united by our sense of belonging. This is the place to learn and grow together.

Why we love it:


As a growing multi-national company, there’s so much potential to develop. Embrace opportunities at a global business that’s facing new and varied challenges. This is the place to build an exemplary, international CV.
A fun place to be, we’re creating community hubs that build partnerships, not just working relationships.
We’re on an exciting journey to take our team to the next stage. This is the place to leave a legacy behind.
We are a diverse, inclusive and innovative group who identify, build and deliver excellent shared services (which everyone can leverage) to enable AstraZeneca to grow and change at speed. We are passionate about simple process – making it easier to get vital repeatable services done – for our patients, for our customers, for our teams. 
We focus on providing exceptional value that contributes to our company’s success and future by freeing up the business (our customers) to push the boundaries of science to deliver life-changing medicines for patients.  With the accomplishments, commitment and passion that you bring, I’m excited about what we will achieve together towards realizing AstraZeneca’s bold ambition. 


About The Role

Mandatory Skills:


Experience in advanced PowerBI
Experience in advanced excel and PowerPoint
Excellent problem-solving skills, including the ability to disaggregate issues, identify root causes, and recommend solutions
Strong multi-tasking abilities, professional attitude, and a good team player
Highly curious and creative individual
Personal initiative, self-management, and leadership abilities; strong work ethic and ""can do"" attitude
Strong verbal and written communication skills in English
Strong skills on Microsoft Office
Strong analytical background
Excellent interpersonal and communication skills, with strong customer focus and attention to detail
Ability to interpret and communicate technical information into business language
3+ years Hands-on on BI tools with excellent knowledge on PowerBI
Excellent Business Presentation skills
Collect, analyse and synthesize information that will serve as critical inputs to Global analytics and Reporting team.


Desirable Skills


Experience of working within a global organisation, preferably within the Pharmaceuticals sector
Advanced analytics
Experience creating and publishing periodic scorecard metrics/risk indicators


WHY JOIN US?

We’re a network of high-reaching self-starters who contribute to something far bigger. We enable AstraZeneca to perform at its peak by delivering premier technology and data solutions.

We’re not afraid to take ownership and run with it. Empowered with unrivalled freedom. Put simply, it’s because we make a significant impact. Everything we do matters.

SO, WHAT’S NEXT? 

Are you already envisioning yourself joining our team? Good, because we’d love to hear from you! Click the link to apply and we’ll be in touch as soon as we can.

WHERE CAN I FIND OUT MORE? 

Our Social Media, Follow AstraZeneca on LinkedIn https://www.linkedin.com/company/1603/

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, sex, gender, gender expression, sexual orientation, age, marital status, veteran status, or disability status.","['Analytics, Attention to Detail, Communication, Presentations, and Problem Solving', 'Business Presentation, Interpersonal Communication, Professional Manner, Self-Management, and Written Communication']"
Your profile matches this job,Data Analyst,"FuelBuddy · Gurgaon, Haryana, India · 1 week ago",https://www.linkedin.com/jobs/view/3875519066/?alternateChannel=search&refId=1HJ4ohbxkcXPslUhJim0XQ%3D%3D&trackingId=3twJqF43YkCc%2BsSFZp3vHQ%3D%3D&trk=d_flagship3_search_srp_jobs,"₹40,000/month - ₹45,000/month On-site
Matches your job preferences, workplace type is On-site.
Full-time
Matches your job preferences, job type is Full-time.
Associate",201-500 employees · Oil and Gas,"About the job
Responsibilities

Collect, clean, and analyze large datasets to identify trends, patterns, and insights.
Develop and maintain data models, dashboards, and reports to support business operations and decision-making.
Collaborate with cross-functional teams to understand their data requirements and provide analytical support.
Identify opportunities for process improvement and efficiency gains through data analysis.
Communicate findings and recommendations effectively to stakeholders through presentations, reports, and visualizations.
Stay up-to-date with industry trends and best practices in data analysis and visualization.

Requirements

Bachelor's degree in Statistics, Mathematics, Computer Science, Economics, or related field. Master's degree preferred.
Proven experience working as a Data Analyst or in a similar role.
Proficiency in SQL for data extraction and manipulation.
Strong analytical and problem-solving skills with the ability to interpret complex datasets.
Experience with data visualization tools such as Tableau, Power BI, or similar.
Knowledge of statistical methods and techniques for hypothesis testing, regression analysis, etc.
Excellent communication and interpersonal skills.
Ability to work independently and collaboratively in a fast-paced environment.

Desired Skills and Experience
SQL, Python, Tableau, Microsoft Power BI, Data Analysis, Excel",
Your profile matches this job,Data Analyst,"Wadhwani AI · Delhi, Delhi, India · 2 weeks ago",https://www.linkedin.com/jobs/view/3867777956/?alternateChannel=search&refId=1HJ4ohbxkcXPslUhJim0XQ%3D%3D&trackingId=uVUNV1vx4Lbnw7kSf908EQ%3D%3D&trk=d_flagship3_search_srp_jobs,"Hybrid
Matches your job preferences, workplace type is Hybrid.
Full-time
Matches your job preferences, job type is Full-time.
Mid-Senior level",51-200 employees · Research Services,"About the job
Summary

The Data Analyst will be a key member responsible for transforming data into compelling visual stories that will directly impact the success of our projects.

About Wadhwani Ai

Wadhwani AI is a nonprofit institute building and deploying applied AI solutions to solve critical issues in public health, agriculture, education, and urban development in underserved communities in the global south. We collaborate with governments, social sector organizations, academic and research institutions, and domain experts to identify real-world problems, and develop practical AI solutions to tackle these issues with the aim of making a substantial positive impact.

We have over 30+ AI projects supported by leading philanthropies such as Bill & Melinda Gates Foundation, USAID and Google.org. With a team of over 200 professionals, our expertise encompasses AI/ML research and innovation, software engineering, domain knowledge, design and user research.

In the Press:

Our Founder Donors are among the Top 100 AI Influencers 
G20 India’s Presidency: AI Healthcare, Agriculture, & Education Solutions Showcased Globally. 
Unlocking the potentials of AI in Public Health 
Wadhwani AI Takes an Impact-First Approach to Applying Artificial Intelligence - data.org 
Winner of the H&M Foundation Global Change Award 2022 
Indian Winners of the 2019 Google AI Impact Challenge, and the first in the Asia Pacific to host Google Fellows 


Roles And Responsibilities

Understand, design, and create databases and data models to support solution needs.
Establish standards for tables, columns, and key values for SQL and NO-SQL databases.
Understand data security and data privacy and understand and define solutions once a problem is defined.
Perform data extraction, cleansing, and normalization of data inconsistencies.
Execute deep and complex quantitative analyses that translate data into actionable insights.
Enable effective decision-making by retrieving and aggregating data from multiple sources and compiling it into a digestible and actionable format.


Requirements

2 - 5 years of relevant experience in Data Analysis.
Candidates should have a Bachelors/Masters in Computer Science, Physics, an Engineering Discipline, or equivalent industry experience.
Proven analytic skills, including mining, evaluation, analysis, and visualization, and Technical writing.
Hands-on experience in SQL, MySQL
Data visualization skills: Tableau, Qlikview, DataStudio, PowerBI
Experience with statistics, Python, and/or R, strong programming experience with frameworks including XML, Javascript, and ETL”
Strong problem-solving skills to create solutions--whether they're hacky, short-term workarounds, or more long-term process changes
Ability to translate complex analytics into clear, concise, and actionable communications
Strong professional verbal and written communication. 


We are committed to promoting diversity and the principle of equal employment opportunity for all our employees and encourage qualified candidates to apply irrespective of religion or belief, ethnic or social background, gender, gender identity, and disability. If you have any questions, please email us at careers@wadhwaniai.org.",
Your profile matches this job,Data Analyst,"Super Scholar · Delhi, India · 2 weeks ago · Over 100 applicants",https://www.linkedin.com/jobs/view/3867753576/?alternateChannel=search&refId=1HJ4ohbxkcXPslUhJim0XQ%3D%3D&trackingId=%2F5sZGootrnFnVJoABh75oQ%3D%3D&trk=d_flagship3_search_srp_jobs,"₹300,000/yr - ₹600,000/yr On-site
Matches your job preferences, workplace type is On-site.
Full-time
Matches your job preferences, job type is Full-time.
Associate",11-50 employees · Education Administration Programs,"About the job
The Data Analyst is an office-based role that involves managing operations using spreadsheets for top management and the company.

Who is this for?

All graduates
Must be relocating to Mumbai or Delhi NCR
Basic English communication skills
Intermediate to Advanced Excel/Google Sheets
Job specific training will be provided. No prior experience required.

Key Features

Corporate office based job
Work directly with the top management in the Managing Director’s Office
Rapid career growth
Not a target based role
Not a field sales/telecalling/BPO role
Above market CTC with great perks

Roles & Responsibilities

Creating systems using Google Sheets/Excel
Data collection and management
Data analysis
Building backend operations using Google Sheets/Excel
Working with the Managing Director/CEO to build systems

Please read the above description in detail and apply to this role if you fit all the criteria. We look forward to speaking with you shortly.

Skills: excel,google sheets,office,data,operations,management",
Your profile matches this job,Data Analyst,"Universal Electronics · Bengaluru, Karnataka, India · 2 weeks ago · Over 100 applicants",https://www.linkedin.com/jobs/view/3870542445/?alternateChannel=search&refId=1HJ4ohbxkcXPslUhJim0XQ%3D%3D&trackingId=%2BhLa5WuEyO3l5%2FNDZ9fB8g%3D%3D&trk=d_flagship3_search_srp_jobs,"Hybrid
Matches your job preferences, workplace type is Hybrid.
Full-time
Matches your job preferences, job type is Full-time.
Mid-Senior level","1,001-5,000 employees · Computers and Electronics Manufacturing","About the job
At UEI you will be part of a world class team that is working to innovate and revolutionize the meaning of ‘wireless control’. Whether it’s via chips, software licenses or turnkey products, we are continuing to reinvent how consumers interact with devices and services in their home.

Each day we make the connected home smarter, easier to connect and use, and more sustainable. We delight our Fortune 100 customers such as Comcast, Apple, Samsung, Google, Vivint and Daikin with ground breaking wireless technology solutions such as advanced, voice-enabled remote controls, cloud control solutions, extreme low power Bluetooth silicon with energy harvesting capabilities, smart thermostats and sensors and many other IoT solutions.

Responsibilities:

Analysis of large amounts of structured and unstructured data.
Work with Product Team to gather requirements, provide status updates, generate multiple reports, update Wiki pages and build relationships.
Research and identify new data sources that can be applied to our business.
Estimate market share of devices, Brands, Models and Prioritize for device expansion.
Identify/Analyze Market trend, relate it to data collected from UEI products, identify gaps, issues, propose for fixes, improvements, infrastructure requirements and opportunities for growth. 
Purchase AV and IoT devices based on popularity, Product team requirements and devices supported in Customer projects. 
Contact third party service providers, AE/PMs, Suppliers..etc to purchase AV devices, to get Subscription and testing support. 
Visualize survey, usability, test cases and benchmark data.
Develop, implement, and maintain leading-edge analytics systems, taking complicated problems and building simple frameworks.
Consult with database and tools teams to define report generation requirements.
Perform statistical analyses for projects and reports that impact product decisions.
Build a dashboard that visualizes key database performance indicators.

Qualification and skills :

BE-CSE with MBA or MTech in IT/Data Analytics
3+ years of relevant experience
Strong SQL, Python and Excel Skills with aptitude to learn other tools and technologies.
Work experience on Cloud database, DB segmentation techniques is preferable. 
Programming experience with R, Framework, XML, Java script, ETL are added advantage. 
Proven analytical skills including data mining and visualization.
Communicate proficiently internally and externally, with technical and non-technical audiences.
Ability to present complex data in an understandable manner using visualization tools. 
Batch conversion of raw data using Excel, or collaborate with engineering to achieve desired results.
Ability to construct data diagrams or presentations or info graphics.
Experience in consumer research a huge plus

Universal Electronics Inc. (NASDAQ: UEIC) is the worldwide leader in universal control and sensing technologies for the smart home. Its broad portfolio of patents includes QuickSet® software that utilizes the world’s most complete knowledge graph to detect and interact with thousands of entertainment and smart home devices. The company designs, develops, and manufactures innovative products that are used by the world’s leading brands in the audio, video, subscription broadcasting, connected home, home energy management, and mobile device markets. UEI’s many first-to-market innovations have helped transform the home entertainment control, home security, and home energy management and sensing industries.

Universal Electronics Inc. is an equal employment opportunity employer. We are proud of our diverse workforce and we believe having diverse teams that everyone brings their whole self to work everyday is key to all of our success. We welcome all people of different experiences, backgrounds, perspectives and abilities.",
Your profile matches this job,Data Analyst in Mumbai,Kennect Inc. · Mumbai Metropolitan Region · 2 weeks ago,https://www.linkedin.com/jobs/view/3865622974/?alternateChannel=search&refId=1HJ4ohbxkcXPslUhJim0XQ%3D%3D&trackingId=IhbITKCXFSYYj%2BRAmn%2FWeg%3D%3D&trk=d_flagship3_search_srp_jobs,"On-site
Matches your job preferences, workplace type is On-site.
Full-time
Matches your job preferences, job type is Full-time.
Entry level",11-50 employees · Software Development,"About the job
This job is sourced from a job board. Learn More
Key Responsibilities

 Collecting, cleaning, and organizing data from various sources
 Analyzing data using statistical methods and software
 Identifying trends, patterns, and insights in data sets
 Creating visualizations and reports to communicate findings
 Collaborating with team members to address business needs and objectives
 Providing actionable recommendations based on data analysis
 Maintaining data integrity and security protocols

About Company: Kennect Inc. is leading the way in sales performance management, with everything businesses need to harness the power of sales incentives. We are designed for complex, ambitious enterprises, Kennett clears immediate sales roadblocks with adaptable products and services delivering planning, strategy, and optimization.
Desired Skills and Experience
SQL, Data Analytics, MongoDB, MS SQL Server, Advanced Excel",
Your profile matches this job,Data Analyst,"TalentPulse Consultants · Jaipur, Rajasthan, India · 5 days ago · Over 100 applicants",https://www.linkedin.com/jobs/view/3884147968/?alternateChannel=search&refId=1HJ4ohbxkcXPslUhJim0XQ%3D%3D&trackingId=VdjfIrNWaYdGdlfmdI0dSg%3D%3D&trk=d_flagship3_search_srp_jobs,"₹20,000/month - ₹25,000/month On-site
Matches your job preferences, workplace type is On-site.
Full-time
Matches your job preferences, job type is Full-time.
Entry level",11-50 employees · Staffing and Recruiting,"About the job
Job Title: Data Analyst

Job Description

We are seeking a skilled and detail-oriented Data Analyst to join our team in Jaipur. The ideal candidate will have a strong understanding of data analysis techniques and the ability to turn data into actionable insights. As a Data Analyst, you will be responsible for interpreting data, analyzing results, and providing insights to support business decisions.

Responsibilities

 Collecting, interpreting, and analyzing data from various sources.
 Cleaning and validating data to ensure accuracy and reliability.
 Developing and maintaining databases and data systems.
 Creating visualizations and reports to communicate findings.
 Identifying trends and patterns in data sets.
 Collaborating with cross-functional teams to gather requirements and understand business needs.
 Presenting findings and recommendations to stakeholders.
 Automating data processes wherever possible to improve efficiency.
 Keeping up-to-date with industry trends and best practices in data analysis.
 Performing ad-hoc analysis and troubleshooting data-related issues.

Requirements

 Bachelor's degree in Mathematics, Statistics, Computer Science, or a related field.
 Proven experience as a Data Analyst or in a similar role.
 Advanced proficiency in Microsoft Excel, including pivot tables, VLOOKUP, and macros.
 Strong analytical and problem-solving skills.
 Experience with data visualization tools such as Tableau or Power BI is a plus.
 Knowledge of SQL and database management systems.
 Excellent attention to detail and ability to work with large datasets.
 Strong communication and presentation skills.
 Ability to work independently and collaborate effectively in a team environment.
 Experience with programming languages such as Python or R is desirable but not required.

Skills: data,data analysis,interpreting,skills,ad-hoc,advanced,communication,computer science,data systems,data visualization",
Your profile matches this job,Data Analyst,"JobDost · Delhi, India · 10 months ago",https://www.linkedin.com/jobs/view/3656592951/?alternateChannel=search&refId=1HJ4ohbxkcXPslUhJim0XQ%3D%3D&trackingId=Cm5Bwdfl%2FIVJUTWbUhv1sQ%3D%3D&trk=d_flagship3_search_srp_jobs,"₹100,000/yr - ₹600,000/yr On-site
Matches your job preferences, workplace type is On-site.
Full-time
Matches your job preferences, job type is Full-time.
Associate",51-200 employees · Human Resources,"About the job
This job is sourced from a job board. Learn More
What You Will Do
Understand the process of CaaStle business teams, KPIs, and pain points
Build scalable data products, self-service tools, data cubes to analyze and present data associated with acquisition, retention, product performance, operations, client services, etc.
Closely partner with data engineering, product, and business teams and participate in requirements capture, research design, data collection, dashboard generation, and translation of results into actionable insights that can add value for business stakeholders
Leverage advanced analytics to drive key success metrics for business and revenue generation
Operationalize, implement, and automate changes to drive data-driven decisions
Attend and play an active role in answering questions from the executive and/or business teams through data mining and analysis
We Would Love For You To Have
Education: Advanced degree in Computer Science, Statistics, Mathematics, Engineering, Economics, Business Analytics or related field is required
Experience: 2-4 years of professional experience
Proficiency in data visualization/reporting tools (i.e. Tableau, Qlikview, etc.)
Experience in A/B testing and measure performance of experiments
Strong proficiency with SQL-based languages. Experience with large scale data analytics technologies (i.e., Hadoop and Spark)
Strong analytical skills and business mindset with the ability to translate complex concepts and analysis into clear and concise takeaways to drive insights and strategies
Excellent communication, social, and presentation skills with meticulous attention to detail
Programming experience in Python, R, or other languages
Knowledge of Data mining, statistical modeling approaches, and techniques
CaaStle is committed to equality of opportunity in employment. It has been and will continue to be the policy of CaaStle to provide full and equal employment opportunities to all employees and candidates for employment without regard to race, color, religion, national or ethnic origin, veteran status, age, sexual orientation, gender identity, or physical or mental disability. This policy applies to all terms, conditions and privileges of employment, such as those pertaining to training, transfer, promotion, compensation and recreational programs.

Skills:- SQL",
Your profile matches this job,Logistics Data Analyst,"ReshaMandi · Bengaluru, Karnataka, India · 4 weeks ago",https://www.linkedin.com/jobs/view/3852560084/?alternateChannel=search&refId=1HJ4ohbxkcXPslUhJim0XQ%3D%3D&trackingId=fA5b0R65bZjmNPSmdCh5Sg%3D%3D&trk=d_flagship3_search_srp_jobs,"₹600,000/yr - ₹1,000,000/yr On-site
Matches your job preferences, workplace type is On-site.
Full-time
Matches your job preferences, job type is Full-time.
Executive","501-1,000 employees · Technology, Information and Internet","About the job
Job DescriptionInterpret data, analyse results using statistical techniques and provide ongoing reports
Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality
Acquire data from primary or secondary data sources and maintain databases.
Identify, analyse, and interpret trends or patterns in complex data sets
Filter and clean data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems
Work with management to prioritize business and information needs
Locate and define new process improvement opportunities.

Requirements

Proven working experience as a Data Analyst or Business Data Analyst
Technical expertise regarding data models, database design development, data mining and segmentation techniques
Strong knowledge of and experience with reporting packages (Business Objects etc), databases (SQL, Power BI, Tableau, Python etc
Strong analytical skills with the ability to collect, organize, analyse, and disseminate significant amounts of information with attention to detail and accuracy
Adept at queries, report writing and presenting findings

Benefits

Industry wide facilities like Internet reimbursement, Flexi Travel Policy, Corporate Meals, Health care insurance for self and family.
Desired Skills and Experience
python, R, SQL, Tableau, power bi, advanced excel, vba",
Your profile matches this job,Logistics Data Analyst,"ReshaMandi · Bengaluru, Karnataka, India · 4 weeks ago",https://www.linkedin.com/jobs/view/3852560084/?alternateChannel=search&refId=1HJ4ohbxkcXPslUhJim0XQ%3D%3D&trackingId=fA5b0R65bZjmNPSmdCh5Sg%3D%3D&trk=d_flagship3_search_srp_jobs,"₹600,000/yr - ₹1,000,000/yr On-site
Matches your job preferences, workplace type is On-site.
Full-time
Matches your job preferences, job type is Full-time.
Executive","501-1,000 employees · Technology, Information and Internet","About the job
Job DescriptionInterpret data, analyse results using statistical techniques and provide ongoing reports
Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality
Acquire data from primary or secondary data sources and maintain databases.
Identify, analyse, and interpret trends or patterns in complex data sets
Filter and clean data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems
Work with management to prioritize business and information needs
Locate and define new process improvement opportunities.

Requirements

Proven working experience as a Data Analyst or Business Data Analyst
Technical expertise regarding data models, database design development, data mining and segmentation techniques
Strong knowledge of and experience with reporting packages (Business Objects etc), databases (SQL, Power BI, Tableau, Python etc
Strong analytical skills with the ability to collect, organize, analyse, and disseminate significant amounts of information with attention to detail and accuracy
Adept at queries, report writing and presenting findings

Benefits

Industry wide facilities like Internet reimbursement, Flexi Travel Policy, Corporate Meals, Health care insurance for self and family.
Desired Skills and Experience
python, R, SQL, Tableau, power bi, advanced excel, vba",
